기준년월,외국인방문자(c),외부방문자(b+c),외지인방문자(b),전체방문자(a+b+c),현지인방문자(a)
18-07,429641.0,5106289.0,4676648.0,19347463.0,14241174.0
18-08,466492.0,5612069.0,5145578.0,19682052.0,14069982.0
18-09,460155.0,4709593.0,4249438.0,18480017.0,13770424.0
18-10,506418.0,4752678.0,4246260.0,19185523.0,14432845.0
18-11,372379.0,4188600.0,3816222.0,18020233.0,13831632.0
18-12,379421.0,4114478.0,3735056.0,18282082.0,14167604.0
19-01,312594.0,4578825.0,4266230.0,18579532.0,14000707.0
19-02,355574.0,4275507.0,3919934.0,16709191.0,12433684.0
19-03,406773.0,4853464.0,4446690.0,19169647.0,14316183.0
19-04,495204.0,4575504.0,4080300.0,18120147.0,13544643.0
19-05,472709.0,4739423.0,4266714.0,19101365.0,14361942.0
19-06,505781.0,4586595.0,4080814.0,18168324.0,13581729.0
19-07,524778.0,5238610.0,4713832.0,19027889.0,13789279.0
19-08,615201.0,5964223.0,5349022.0,19560159.0,13595936.0
19-09,531940.0,4731762.0,4199822.0,17849828.0,13118066.0
19-10,621016.0,5363107.0,4742090.0,19422288.0,14059182.0
19-11,525026.0,4873559.0,4348533.0,18605820.0,13732260.0
19-12,554198.0,5036116.0,4481918.0,19185878.0,14149762.0
20-01,166591.0,4884952.0,4718360.0,18287530.0,13402578.0
20-02,43470.0,3172778.0,3129308.0,15595433.0,12422655.0
20-03,20686.0,2948705.0,2928020.0,15938168.0,12989462.0
20-04,16599.0,2569992.0,2553394.0,15466579.0,12896586.0
20-05,17336.0,3487464.0,3470128.0,17418923.0,13931460.0
20-06,20753.0,3651489.0,3630736.0,17235174.0,13583686.0
20-07,19124.0,4619717.0,4600592.0,18657765.0,14038048.0
20-08,19988.0,5128000.0,5108012.0,18779981.0,13651981.0
20-09,24977.0,3547286.0,3522309.0,17008433.0,13461147.0
20-10,25789.0,4586429.0,4560640.0,18909542.0,14323113.0
20-11,21893.0,4465474.0,4443582.0,18522654.0,14057180.0
20-12,21159.0,3539240.0,3518081.0,17310889.0,13771650.0
21-01,18732.0,3108770.0,3090038.0,17616277.0,14507507.0
21-02,15573.0,3882244.0,3866670.0,17866025.0,13983781.0
21-03,20193.0,4809156.0,4788962.0,21141489.0,16332334.0
21-04,20193.0,5069475.0,5049282.0,20769880.0,15700405.0
21-05,20178.0,5340108.0,5319930.0,21676348.0,16336240.0
21-06,21483.0,5192639.0,5171156.0,21353630.0,16160991.0
21-07,28192.0,5671634.0,5643442.0,22070044.0,16398410.0
21-08,24271.0,5237857.0,5213586.0,21061686.0,15823829.0
21-09,23725.0,4531532.0,4507808.0,20333763.0,15802230.0
21-10,32884.0,5801364.0,5768480.0,22694691.0,16893328.0
21-11,27695.0,5615658.0,5587964.0,21962877.0,16347219.0
21-12,26552.0,5303303.0,5276750.0,22036337.0,16733034.0
22-01,23124.0,6044829.0,6021704.0,22188390.0,16143561.0
22-02,22562.0,5076037.0,5053475.0,19652690.0,14576653.0
22-03,24492.0,4829488.0,4804996.0,21116122.0,16286634.0
22-04,27894.0,5404632.0,5376738.0,21588412.0,16183780.0
22-05,32689.0,5386174.0,5353484.0,21236596.0,15850422.0
22-06,42853.0,5873436.0,5830584.0,20487459.0,14614022.0
